date,cases,lag_1_days_cases,lag_7_days_cases,lag_14_days_cases,rolling_mean_14_days_cases,rolling_mean_28_days_cases
2020-01-22,1.0,,,,,
2020-01-23,1.0,1.0,,,,
2020-01-24,2.0,1.0,,,,
2020-01-25,2.0,2.0,,,,
2020-01-26,5.0,2.0,,,,
2020-01-27,5.0,5.0,,,,
2020-01-28,5.0,5.0,,,,
2020-01-29,6.0,5.0,1.0,,,
2020-01-30,6.0,6.0,1.0,,,
2020-01-31,8.0,6.0,2.0,,,
2020-02-01,8.0,8.0,2.0,,,
2020-02-02,8.0,8.0,5.0,,,
2020-02-03,11.0,8.0,5.0,,,
2020-02-04,11.0,11.0,5.0,,5.642857142857143,
2020-02-05,11.0,11.0,6.0,1.0,6.357142857142857,
2020-02-06,12.0,11.0,6.0,1.0,7.142857142857143,
2020-02-07,12.0,12.0,8.0,2.0,7.857142857142857,
2020-02-08,12.0,12.0,8.0,2.0,8.571428571428571,
2020-02-09,12.0,12.0,8.0,5.0,9.071428571428571,
2020-02-10,12.0,12.0,11.0,5.0,9.571428571428571,
2020-02-11,13.0,12.0,11.0,5.0,10.142857142857142,
2020-02-12,13.0,13.0,11.0,6.0,10.642857142857142,
2020-02-13,14.0,13.0,12.0,6.0,11.214285714285714,
2020-02-14,14.0,14.0,12.0,8.0,11.642857142857142,
2020-02-15,14.0,14.0,12.0,8.0,12.071428571428571,
2020-02-16,14.0,14.0,12.0,8.0,12.5,
2020-02-17,15.0,14.0,12.0,11.0,12.785714285714286,
2020-02-18,16.0,15.0,13.0,11.0,13.142857142857142,9.392857142857142
2020-02-19,16.0,16.0,13.0,11.0,13.5,9.928571428571429
2020-02-20,16.0,16.0,14.0,12.0,13.785714285714286,10.464285714285714
2020-02-21,16.0,16.0,14.0,12.0,14.071428571428571,10.964285714285714
2020-02-22,16.0,16.0,14.0,12.0,14.357142857142858,11.464285714285714
2020-02-23,16.0,16.0,14.0,12.0,14.642857142857142,11.857142857142858
2020-02-24,17.0,16.0,15.0,12.0,15.0,12.285714285714286
2020-02-25,18.0,17.0,16.0,13.0,15.357142857142858,12.75
2020-02-26,19.0,18.0,16.0,13.0,15.785714285714286,13.214285714285714
2020-02-27,19.0,19.0,16.0,14.0,16.142857142857142,13.678571428571429
2020-02-28,19.0,19.0,16.0,14.0,16.5,14.071428571428571
2020-02-29,26.0,19.0,16.0,14.0,17.357142857142858,14.714285714285714
2020-03-01,39.0,26.0,16.0,14.0,19.142857142857142,15.821428571428571
2020-03-02,57.0,39.0,17.0,15.0,22.142857142857142,17.464285714285715
2020-03-03,79.0,57.0,18.0,16.0,26.642857142857142,19.892857142857142
2020-03-04,113.0,79.0,19.0,16.0,33.57142857142857,23.535714285714285
2020-03-05,184.0,113.0,19.0,16.0,45.57142857142857,29.678571428571427
2020-03-06,247.0,184.0,19.0,16.0,62.07142857142857,38.07142857142857
2020-03-07,417.0,247.0,26.0,16.0,90.71428571428571,52.535714285714285
2020-03-08,538.0,417.0,39.0,16.0,128.0,71.32142857142857
2020-03-09,630.0,538.0,57.0,17.0,171.78571428571428,93.39285714285714
2020-03-10,797.0,630.0,79.0,18.0,227.42857142857142,121.39285714285714
2020-03-11,1156.0,797.0,113.0,19.0,308.64285714285717,162.21428571428572
2020-03-12,1596.0,1156.0,184.0,19.0,421.2857142857143,218.71428571428572
2020-03-13,2222.0,1596.0,247.0,19.0,578.6428571428571,297.57142857142856
2020-03-14,2952.0,2222.0,417.0,26.0,787.6428571428571,402.5
2020-03-15,3234.0,2952.0,538.0,39.0,1015.8571428571429,517.5
2020-03-16,4667.0,3234.0,630.0,57.0,1345.142857142857,683.6428571428571
2020-03-17,6450.0,4667.0,797.0,79.0,1800.2142857142858,913.4285714285714
2020-03-18,9156.0,6450.0,1156.0,113.0,2446.1428571428573,1239.857142857143
2020-03-19,13663.0,9156.0,1596.0,184.0,3408.9285714285716,1727.25
2020-03-20,20064.0,13663.0,2222.0,247.0,4824.428571428572,2443.25
2020-03-21,26056.0,20064.0,2952.0,417.0,6655.785714285715,3373.25
2020-03-22,34944.0,26056.0,3234.0,538.0,9113.357142857143,4620.678571428572
2020-03-23,46096.0,34944.0,4667.0,630.0,12360.92857142857,6266.357142857143
2020-03-24,56714.0,46096.0,6450.0,797.0,16355.0,8291.214285714286
2020-03-25,68841.0,56714.0,9156.0,1156.0,21189.64285714286,10749.142857142857
2020-03-26,86662.0,68841.0,13663.0,1596.0,27265.785714285714,13843.535714285714
2020-03-27,105253.0,86662.0,20064.0,2222.0,34625.142857142855,17601.89285714286
2020-03-28,127417.0,105253.0,26056.0,2952.0,43515.5,22151.571428571428
2020-03-29,143544.0,127417.0,34944.0,3234.0,53537.642857142855,27276.75
2020-03-30,165698.0,143544.0,46096.0,4667.0,65039.857142857145,33192.5
2020-03-31,192079.0,165698.0,56714.0,6450.0,78299.07142857143,40049.642857142855
2020-04-01,227543.0,192079.0,68841.0,9156.0,93898.14285714286,48172.142857142855
2020-04-02,259798.0,227543.0,86662.0,13663.0,111479.21428571429,57444.07142857143
2020-04-03,292201.0,259798.0,105253.0,20064.0,130917.57142857143,67871.0
2020-04-04,323965.0,292201.0,127417.0,26056.0,152196.7857142857,79426.28571428571
2020-04-05,353117.0,323965.0,143544.0,34944.0,174923.42857142858,92018.39285714286
2020-04-06,385110.0,353117.0,165698.0,46096.0,199138.7142857143,105749.82142857143
2020-04-07,415256.0,385110.0,192079.0,56714.0,224748.85714285713,120551.92857142857
2020-04-08,446500.0,415256.0,227543.0,68841.0,251724.5,136457.07142857142
2020-04-09,481981.0,446500.0,259798.0,86662.0,279961.5714285714,153613.67857142858
2020-04-10,516396.0,481981.0,292201.0,105253.0,309328.9285714286,171977.0357142857
2020-04-11,545313.0,516396.0,323965.0,127417.0,339178.64285714284,191347.07142857142
