date,cases
2020-01-22,1.0
2020-01-23,1.0
2020-01-24,2.0
2020-01-25,2.0
2020-01-26,5.0
2020-01-27,5.0
2020-01-28,5.0
2020-01-29,6.0
2020-01-30,6.0
2020-01-31,8.0
2020-02-01,8.0
2020-02-02,8.0
2020-02-03,11.0
2020-02-04,11.0
2020-02-05,11.0
2020-02-06,12.0
2020-02-07,12.0
2020-02-08,12.0
2020-02-09,12.0
2020-02-10,12.0
2020-02-11,13.0
2020-02-12,13.0
2020-02-13,14.0
2020-02-14,14.0
2020-02-15,14.0
2020-02-16,14.0
2020-02-17,15.0
2020-02-18,16.0
2020-02-19,16.0
2020-02-20,16.0
2020-02-21,16.0
2020-02-22,16.0
2020-02-23,16.0
2020-02-24,17.0
2020-02-25,18.0
2020-02-26,19.0
2020-02-27,19.0
2020-02-28,19.0
2020-02-29,26.0
2020-03-01,39.0
2020-03-02,57.0
2020-03-03,79.0
2020-03-04,113.0
2020-03-05,184.0
2020-03-06,247.0
2020-03-07,417.0
2020-03-08,538.0
2020-03-09,630.0
2020-03-10,797.0
2020-03-11,1156.0
2020-03-12,1596.0
2020-03-13,2222.0
2020-03-14,2952.0
2020-03-15,3234.0
2020-03-16,4667.0
2020-03-17,6450.0
2020-03-18,9156.0
2020-03-19,13663.0
2020-03-20,20064.0
2020-03-21,26056.0
2020-03-22,34944.0
2020-03-23,46096.0
2020-03-24,56714.0
2020-03-25,68841.0
2020-03-26,86662.0
2020-03-27,105253.0
2020-03-28,127417.0
2020-03-29,143544.0
2020-03-30,165698.0
2020-03-31,192079.0
2020-04-01,227543.0
2020-04-02,259798.0
2020-04-03,292201.0
2020-04-04,323965.0
2020-04-05,353117.0
2020-04-06,385110.0
2020-04-07,415256.0
2020-04-08,446500.0
2020-04-09,481981.0
2020-04-10,516396.0
2020-04-11,545313.0
2020-04-12,571551.0
2020-04-13,598789.0
2020-04-14,627306.0
2020-04-15,653345.0
2020-04-16,682962.0
2020-04-17,716152.0
2020-04-18,743464.0
2020-04-19,768888.0
2020-04-20,799149.0
2020-04-21,825478.0
2020-04-22,855445.0
2020-04-23,887523.0
2020-04-24,919014.0
2020-04-25,949640.0
2020-04-26,975537.0
2020-04-27,1000230.0
2020-04-28,1024834.0
2020-04-29,1051643.0
2020-04-30,1081150.0
2020-05-01,1115972.0
2020-05-02,1142619.0
2020-05-03,1166189.0
2020-05-04,1190240.0
2020-05-05,1214321.0
2020-05-06,1238694.0
2020-05-07,1266904.0
2020-05-08,1294111.0
2020-05-09,1318358.0
2020-05-10,1337061.0
2020-05-11,1356283.0
2020-05-12,1379661.0
2020-05-13,1399662.0
2020-05-14,1425539.0
2020-05-15,1449938.0
2020-05-16,1473806.0
2020-05-17,1492449.0
2020-05-18,1514833.0
2020-05-19,1535591.0
2020-05-20,1558430.0
2020-05-21,1583542.0
2020-05-22,1607464.0
2020-05-23,1627392.0
2020-05-24,1647513.0
2020-05-25,1666699.0
2020-05-26,1685395.0
2020-05-27,1704200.0
2020-05-28,1725329.0
2020-05-29,1750066.0
2020-05-30,1772783.0
2020-05-31,1791547.0
2020-06-01,1809384.0
2020-06-02,1829340.0
2020-06-03,1848388.0
2020-06-04,1876099.0
2020-06-05,1902280.0
2020-06-06,1922433.0
2020-06-07,1940242.0
2020-06-08,1957154.0
2020-06-09,1977478.0
2020-06-10,1999224.0
2020-06-11,2021527.0
2020-06-12,2047082.0
2020-06-13,2071218.0
2020-06-14,2090171.0
2020-06-15,2111266.0
2020-06-16,2135894.0
2020-06-17,2162973.0
2020-06-18,2191211.0
2020-06-19,2222207.0
2020-06-20,2254073.0
2020-06-21,2279932.0
2020-06-22,2309921.0
2020-06-23,2348750.0
2020-06-24,2385029.0
2020-06-25,2424386.0
2020-06-26,2473472.0
2020-06-27,2514305.0
2020-06-28,2557223.0
2020-06-29,2598741.0
2020-06-30,2648797.0
2020-07-01,2698127.0
2020-07-02,2753211.0
2020-07-03,2804869.0
2020-07-04,2850893.0
2020-07-05,2904843.0
2020-07-06,2948475.0
2020-07-07,3005888.0
2020-07-08,3066392.0
2020-07-09,3126225.0
2020-07-10,3194747.0
2020-07-11,3255188.0
2020-07-12,3315408.0
2020-07-13,3375033.0
2020-07-14,3440790.0
2020-07-15,3507089.0
2020-07-16,3577863.0
2020-07-17,3644285.0
2020-07-18,3708610.0
2020-07-19,3767603.0
2020-07-20,3828459.0
2020-07-21,3896754.0
2020-07-22,3964204.0
2020-07-23,4031971.0
2020-07-24,4106920.0
2020-07-25,4170675.0
2020-07-26,4226306.0
2020-07-27,4286303.0
2020-07-28,4350867.0
2020-07-29,4414919.0
2020-07-30,4484123.0
2020-07-31,4548498.0
2020-08-01,4605922.0
2020-08-02,4652811.0
2020-08-03,4694707.0
2020-08-04,4756328.0
2020-08-05,4810465.0
2020-08-06,4870501.0
2020-08-07,4930942.0
2020-08-08,4994709.0
2020-08-09,5048872.0
2020-08-10,5100509.0
2020-08-11,5157385.0
2020-08-12,5212607.0
2020-08-13,5264053.0
2020-08-14,5334125.0
2020-08-15,5386450.0
2020-08-16,5421027.0
2020-08-17,5459024.0
2020-08-18,5503999.0
2020-08-19,5549914.0
2020-08-20,5595049.0
2020-08-21,5642949.0
2020-08-22,5688220.0
2020-08-23,5720123.0
2020-08-24,5754214.0
2020-08-25,5796776.0
2020-08-26,5838968.0
2020-08-27,5889405.0
2020-08-28,5935725.0
2020-08-29,5978796.0
2020-08-30,6012964.0
2020-08-31,6046490.0
2020-09-01,6088459.0
2020-09-02,6128577.0
2020-09-03,6173788.0
2020-09-04,6222447.0
2020-09-05,6265685.0
2020-09-06,6294763.0
2020-09-07,6319465.0
2020-09-08,6346568.0
2020-09-09,6380419.0
2020-09-10,6420041.0
2020-09-11,6464866.0
2020-09-12,6510481.0
2020-09-13,6550789.0
2020-09-14,6583690.0
2020-09-15,6621129.0
2020-09-16,6659478.0
2020-09-17,6704919.0
2020-09-18,6755146.0
2020-09-19,6800801.0
2020-09-20,6842406.0
2020-09-21,6874666.0
2020-09-22,6912974.0
2020-09-23,6954204.0
2020-09-24,7003201.0
2020-09-25,7050827.0
2020-09-26,7094717.0
2020-09-27,7128424.0
2020-09-28,7164995.0
2020-09-29,7207285.0
2020-09-30,7246201.0
2020-10-01,7292563.0
2020-10-02,7346110.0
2020-10-03,7395490.0
2020-10-04,7428860.0
2020-10-05,7466807.0
2020-10-06,7511828.0
2020-10-07,7561295.0
2020-10-08,7619508.0
2020-10-09,7674839.0
2020-10-10,7730093.0
2020-10-11,7776973.0
2020-10-12,7819928.0
2020-10-13,7870524.0
2020-10-14,7929695.0
2020-10-15,7993557.0
2020-10-16,8063867.0
2020-10-17,8118717.0
2020-10-18,8171011.0
2020-10-19,8239748.0
2020-10-20,8302319.0
2020-10-21,8363744.0
2020-10-22,8443960.0
2020-10-23,8526092.0
2020-10-24,8604191.0
2020-10-25,8664568.0
2020-10-26,8729038.0
2020-10-27,8808015.0
2020-10-28,8896403.0
2020-10-29,8989082.0
2020-10-30,9089581.0
2020-10-31,9176353.0
2020-11-01,9254491.0
2020-11-02,9338429.0
2020-11-03,9465331.0
2020-11-04,9567400.0
2020-11-05,9697432.0
2020-11-06,9826559.0
2020-11-07,9953781.0
2020-11-08,10073149.0
2020-11-09,10192674.0
2020-11-10,10331958.0
2020-11-11,10481517.0
2020-11-12,10641054.0
2020-11-13,10819815.0
2020-11-14,10982695.0
2020-11-15,11121209.0
2020-11-16,11276946.0
2020-11-17,11444298.0
2020-11-18,11617714.0
2020-11-19,11809681.0
2020-11-20,12010766.0
2020-11-21,12188370.0
2020-11-22,12333605.0
2020-11-23,12517891.0
2020-11-24,12692859.0
2020-11-25,12874110.0
2020-11-26,12987021.0
2020-11-27,13202223.0
2020-11-28,13369712.0
2020-11-29,13509385.0
2020-11-30,13667916.0
2020-12-01,13866747.0
2020-12-02,14063763.0
2020-12-03,14283186.0
2020-12-04,14518320.0
2020-12-05,14738243.0
2020-12-06,14916374.0
2020-12-07,15112615.0
2020-12-08,15340114.0
2020-12-09,15555849.0
2020-12-10,15791626.0
2020-12-11,16028528.0
2020-12-12,16251284.0
2020-12-13,16441926.0
2020-12-14,16652287.0
2020-12-15,16879508.0
2020-12-16,17113651.0
2020-12-17,17352825.0
2020-12-18,17599265.0
2020-12-19,17804290.0
2020-12-20,17990459.0
2020-12-21,18187884.0
2020-12-22,18393674.0
2020-12-23,18614461.0
2020-12-24,18826056.0
2020-12-25,18951580.0
2020-12-26,19169548.0
2020-12-27,19305731.0
2020-12-28,19480364.0
2020-12-29,19687206.0
2020-12-30,19905955.0
2020-12-31,20219881.0
2021-01-01,20397401.0
2021-01-02,20670025.0
2021-01-03,20873238.0
2021-01-04,21059971.0
