serie,fh,best_model,model_path,MAPE,MASE,MdASE
m1,1,"ForecastingPipeline(steps=[('forecaster',
                            TransformedTargetForecaster(steps=[('model',
                                                                BaseCdsDtForecaster(fe_target_rr=[WindowSummarizer(lag_feature={'lag': [12,
                                                                                                                                        11,
                                                                                                                                        10,
                                                                                                                                        9,
                                                                                                                                        8,
                                                                                                                                        7,
                                                                                                                                        6,
                                                                                                                                        5,
                                                                                                                                        4,
                                                                                                                                        3,
                                                                                                                                        2,
                                                                                                                                        1]},
                                                                                                                   n_jobs=1)],
                                                                                    regressor=KNeighborsRegressor(n_jobs=-1),
                                                                                    sp=12,
                                                                                    window_length=12))]))])",models/m1_1,0.06585386882545523,0.5602078440857863,0.9110014461187363
m1,2,"ForecastingPipeline(steps=[('forecaster',
                            TransformedTargetForecaster(steps=[('model',
                                                                BaseCdsDtForecaster(fe_target_rr=[WindowSummarizer(lag_feature={'lag': [12,
                                                                                                                                        11,
                                                                                                                                        10,
                                                                                                                                        9,
                                                                                                                                        8,
                                                                                                                                        7,
                                                                                                                                        6,
                                                                                                                                        5,
                                                                                                                                        4,
                                                                                                                                        3,
                                                                                                                                        2,
                                                                                                                                        1]},
                                                                                                                   n_jobs=1)],
                                                                                    regressor=HuberRegressor(),
                                                                                    sp=12,
                                                                                    window_length=12))]))])",models/m1_2,0.03794531391647128,0.31155285620668643,0.5066424998205686
m1,3,"ForecastingPipeline(steps=[('forecaster',
                            TransformedTargetForecaster(steps=[('model',
                                                                STLForecaster(sp=12))]))])",models/m1_3,0.03765795397390224,0.15914671885500584,0.13926619361083775
m1,6,"ForecastingPipeline(steps=[('forecaster',
                            TransformedTargetForecaster(steps=[('model',
                                                                STLForecaster(sp=12))]))])",models/m1_6,0.0590735622095148,0.1831117177476156,0.2947787810794687
m1,12,"ForecastingPipeline(steps=[('forecaster',
                            TransformedTargetForecaster(steps=[('model',
                                                                STLForecaster(sp=12))]))])",models/m1_12,0.04583697939685367,0.15504720710719452,0.22475219182929265
m1,18,"ForecastingPipeline(steps=[('forecaster',
                            TransformedTargetForecaster(steps=[('model',
                                                                STLForecaster(sp=12))]))])",models/m1_18,0.04044490818072856,0.144966923688904,0.16984309894184935
m1,24,"ForecastingPipeline(steps=[('forecaster',
                            TransformedTargetForecaster(steps=[('model',
                                                                BaseCdsDtForecaster(fe_target_rr=[WindowSummarizer(lag_feature={'lag': [12,
                                                                                                                                        11,
                                                                                                                                        10,
                                                                                                                                        9,
                                                                                                                                        8,
                                                                                                                                        7,
                                                                                                                                        6,
                                                                                                                                        5,
                                                                                                                                        4,
                                                                                                                                        3,
                                                                                                                                        2,
                                                                                                                                        1]},
                                                                                                                   n_jobs=1)],
                                                                                    regressor=KNeighborsRegressor(n_jobs=-1),
                                                                                    sp=12,
                                                                                    window_length=12))]))])",models/m1_24,0.06862253057366435,0.286172896649006,0.33273474214997756
m2,1,"ForecastingPipeline(steps=[('forecaster',
                            TransformedTargetForecaster(steps=[('model',
                                                                AutoETS(seasonal='mul',
                                                                        sp=12,
                                                                        trend='add'))]))])",models/m2_1,0.10116539946610734,0.9575085204993552,1.2342869931995022
m2,2,"ForecastingPipeline(steps=[('forecaster',
                            TransformedTargetForecaster(steps=[('model',
                                                                ExponentialSmoothing(seasonal='mul',
                                                                                     sp=12,
                                                                                     trend='add'))]))])",models/m2_2,0.12270095493326341,1.0864083586890685,1.4004467612818905
m2,3,"ForecastingPipeline(steps=[('forecaster',
                            TransformedTargetForecaster(steps=[('model',
                                                                BaseCdsDtForecaster(fe_target_rr=[WindowSummarizer(lag_feature={'lag': [12,
                                                                                                                                        11,
                                                                                                                                        10,
                                                                                                                                        9,
                                                                                                                                        8,
                                                                                                                                        7,
                                                                                                                                        6,
                                                                                                                                        5,
                                                                                                                                        4,
                                                                                                                                        3,
                                                                                                                                        2,
                                                                                                                                        1]},
                                                                                                                   n_jobs=1)],
                                                                                    regressor=HuberRegressor(),
                                                                                    sp=12,
                                                                                    window_length=12))]))])",models/m2_3,0.0381619427470918,0.3431189632831571,0.308745258968668
